buyer_state	buyer_county	buyer_dea_no	buyer_name	buyer_city	total_dosage_unit	total_records
WV	MINGO	BS7437064	STROSNIDER	KERMIT	13168350	7691
WV	MINGO	BH6954401	HURLEY DRUG COMPANY INC	WILLIAMSON	8890370	11138
WV	MINGO	FT0251227	TUG VALLEY PHARMACY, LLC	WILLIAMSON	8827860	5390
WV	MINGO	FR0261684	RIVERSIDE PHARMACY	GILBERT	1780680	2249
WV	MINGO	AA8151728	ADKINS PHARMACY INC	GILBERT	1576200	2491
WV	MINGO	FG0153863	GILBERT PHARMACY	GILBERT	1403720	3138
WV	MINGO	BR0780521	RITE AID OF WEST VIRGINIA, INC.	GILBERT	1061730	2467
WV	MINGO	FS1092787	SAV-RITE PHARMACY #2	KERMIT	736100	477
WV	MINGO	FM2945321	MEDICINE CABINET PHARMACY	KERMIT	419310	830
WV	MINGO	BM2373051	APPALACHIAN, REG HEALTHCARE INC, DBA MATEWAN CLINIC PHARMACY	MATEWAN	331450	954
WV	MINGO	AM2373051	APPALACHIAN, REG HEALTHCARE INC, DBA MATEWAN CLINIC PHARMACY	MATEWAN	23400	91
WV	MINGO	BM2933263	MATEWAN FAMILY PHARMACY, INC	MATEWAN	22720	158
WV	MINGO	FM2252372	MEDICINE CABINET PHARMACY	KERMIT	18200	21
WV	MINGO	AK2397380	KNOWLES, LINDA S DVM	WILLIAMSON	5500	27
WV	MINGO	AK1559953	KOCH, MICHAEL L DVM	WILLIAMSON	4000	30
WV	MINGO	FN0429604	NIELSON, DAVID	WILLIAMSON	40	2
